"","x"
"1145","CD4+ T-cells"
"1146","CD8+ T-cells"
"1147","CD4+ T-cells"
"1148","Monocytes"
"1149","Monocytes"
"1150","CD8+ T-cells"
"1151","NK cells"
"1152","CD4+ T-cells"
"1153","CD8+ T-cells"
"1154","B-cells"
"1155","B-cells"
"1156","CD8+ T-cells"
"1157","CD8+ T-cells"
"1158","Monocytes"
"1159","B-cells"
"1160","CD8+ T-cells"
"1161","B-cells"
"1162","B-cells"
"1163","CD8+ T-cells"
"1164","NK cells"
"1165","CD4+ T-cells"
"1166","Monocytes"
"1167","CD8+ T-cells"
"1168","B-cells"
"1169","CD4+ T-cells"
"1170","B-cells"
"1171","Monocytes"
"1172","CD8+ T-cells"
"1173","NK cells"
"1174","Monocytes"
"1175","Monocytes"
"1176","CD8+ T-cells"
"1177","CD8+ T-cells"
"1178","CD4+ T-cells"
"1179","CD8+ T-cells"
"1180","Monocytes"
"1181","B-cells"
"1182","Monocytes"
"1183","CD8+ T-cells"
"1184","Monocytes"
"1185","CD4+ T-cells"
"1186","CD4+ T-cells"
"1187","B-cells"
"1188","CD8+ T-cells"
"1189","CD8+ T-cells"
"1190","CD4+ T-cells"
"1191","Monocytes"
"1192","NK cells"
"1193","CD8+ T-cells"
"1194","B-cells"
"1195","CD8+ T-cells"
"1196","CD4+ T-cells"
"1197","Monocytes"
"1198","Monocytes"
"1199","NK cells"
"1200","CD4+ T-cells"
"1201","CD8+ T-cells"
"1202","B-cells"
"1203","B-cells"
"1204","CD8+ T-cells"
"1205","CD8+ T-cells"
"1206","CD8+ T-cells"
"1207","Monocytes"
"1208","Monocytes"
"1209","Monocytes"
"1210","B-cells"
"1211","CD8+ T-cells"
"1212","CD4+ T-cells"
"1213","CD8+ T-cells"
"1214","B-cells"
"1215","Monocytes"
"1216","Monocytes"
"1217","CD4+ T-cells"
"1218","CD8+ T-cells"
"1219","B-cells"
"1220","CD8+ T-cells"
"1221","CD4+ T-cells"
"1222","Monocytes"
"1223","Monocytes"
"1224","CD8+ T-cells"
"1225","CD4+ T-cells"
"1226","B-cells"
"1227","CD8+ T-cells"
"1228","CD8+ T-cells"
"1229","Monocytes"
"1230","B-cells"
"1231","Monocytes"
"1232","CD8+ T-cells"
"1233","CD8+ T-cells"
"1234","NK cells"
"1235","Monocytes"
"1236","CD8+ T-cells"
"1237","CD8+ T-cells"
"1238","Monocytes"
"1239","CD4+ T-cells"
"1240","Monocytes"
"1241","CD4+ T-cells"
"1242","Monocytes"
"1243","CD8+ T-cells"
"1244","CD8+ T-cells"
"1245","B-cells"
"1246","Monocytes"
"1247","CD8+ T-cells"
"1248","B-cells"
"1249","CD4+ T-cells"
"1250","CD8+ T-cells"
"1251","NK cells"
"1252","CD8+ T-cells"
"1253","Monocytes"
"1254","B-cells"
"1255","NK cells"
"1256","Monocytes"
"1257","CD8+ T-cells"
"1258","CD4+ T-cells"
"1259","B-cells"
"1260","CD8+ T-cells"
"1261","B-cells"
"1262","Monocytes"
"1263","CD8+ T-cells"
"1264","CD8+ T-cells"
"1265","CD8+ T-cells"
"1266","Monocytes"
"1267","CD8+ T-cells"
"1268","CD8+ T-cells"
"1269","Monocytes"
"1270","Monocytes"
"1271",NA
"1272","CD8+ T-cells"
"1273","CD8+ T-cells"
"1274","Monocytes"
"1275","CD8+ T-cells"
"1276","CD8+ T-cells"
"1277",NA
"1278","CD8+ T-cells"
"1279","CD4+ T-cells"
"1280","CD8+ T-cells"
"1281","CD8+ T-cells"
"1282","NK cells"
"1283","B-cells"
"1284","Monocytes"
"1285","CD8+ T-cells"
"1286","B-cells"
"1287","CD4+ T-cells"
"1288","CD8+ T-cells"
"1289","CD8+ T-cells"
"1290","CD4+ T-cells"
"1291","NK cells"
"1292","CD8+ T-cells"
"1293","Monocytes"
"1294","Monocytes"
"1295","CD4+ T-cells"
"1296","Monocytes"
"1297","B-cells"
"1298","CD4+ T-cells"
"1299","CD8+ T-cells"
"1300","B-cells"
"1301","Monocytes"
"1302","CD8+ T-cells"
"1303","CD4+ T-cells"
"1304","Monocytes"
"1305","B-cells"
"1306","Monocytes"
"1307","CD4+ T-cells"
"1308","CD4+ T-cells"
"1309","CD8+ T-cells"
"1310","B-cells"
"1311","B-cells"
"1312","Monocytes"
"1313","CD4+ T-cells"
"1314","B-cells"
"1315","Monocytes"
"1316","CD8+ T-cells"
"1317","Monocytes"
"1318","CD8+ T-cells"
"1319","CD8+ T-cells"
"1320","Monocytes"
"1321","CD8+ T-cells"
"1322","Monocytes"
"1323","CD4+ T-cells"
"1324","CD4+ T-cells"
"1325","NK cells"
"1326","CD8+ T-cells"
"1327","CD4+ T-cells"
"1328","CD4+ T-cells"
"1329","CD8+ T-cells"
"1330","Monocytes"
"1331","B-cells"
"1332","CD4+ T-cells"
"1333","NK cells"
"1334","CD8+ T-cells"
"1335","NK cells"
"1336","B-cells"
"1337","B-cells"
"1338","NK cells"
"1339","CD8+ T-cells"
"1340","Monocytes"
"1341","CD8+ T-cells"
"1342","NK cells"
"1343","CD4+ T-cells"
"1344","B-cells"
"1345","B-cells"
"1346","B-cells"
"1347","Monocytes"
"1348","Monocytes"
"1349","CD8+ T-cells"
"1350","B-cells"
"1351","Monocytes"
"1352","B-cells"
"1353","B-cells"
"1354","B-cells"
"1355","CD4+ T-cells"
"1356","CD8+ T-cells"
"1357","CD8+ T-cells"
"1358","CD8+ T-cells"
"1359","Monocytes"
"1360","CD8+ T-cells"
"1361","NK cells"
"1362","B-cells"
"1363","CD4+ T-cells"
"1364","B-cells"
"1365","CD4+ T-cells"
"1366","CD8+ T-cells"
"1367","CD8+ T-cells"
"1368","NK cells"
"1369","B-cells"
"1370","CD8+ T-cells"
"1371","NK cells"
"1372","NK cells"
"1373","CD4+ T-cells"
"1374","NK cells"
"1375","CD8+ T-cells"
"1376","CD8+ T-cells"
"1377","NK cells"
"1378","NK cells"
"1379","CD8+ T-cells"
"1380","Monocytes"
"1381","Monocytes"
"1382","CD8+ T-cells"
"1383","Monocytes"
"1384","CD8+ T-cells"
"1385","CD4+ T-cells"
"1386","B-cells"
"1387","Monocytes"
"1388","CD4+ T-cells"
"1389","CD8+ T-cells"
"1390","Monocytes"
"1391","NK cells"
"1392","CD8+ T-cells"
"1393","NK cells"
"1394","B-cells"
"1395","CD8+ T-cells"
"1396","CD8+ T-cells"
"1397","B-cells"
"1398","Monocytes"
"1399","B-cells"
"1400","CD8+ T-cells"
"1401","B-cells"
"1402","CD4+ T-cells"
"1403","CD8+ T-cells"
"1404","CD8+ T-cells"
"1405","Monocytes"
"1406","B-cells"
"1407","Monocytes"
"1408","CD8+ T-cells"
"1409","CD4+ T-cells"
"1410","CD8+ T-cells"
"1411","CD8+ T-cells"
"1412","CD4+ T-cells"
"1413","Monocytes"
"1414","CD8+ T-cells"
"1415","CD4+ T-cells"
"1416","CD8+ T-cells"
"1417","Monocytes"
"1418","Monocytes"
"1419","Monocytes"
"1420","CD4+ T-cells"
"1421","CD8+ T-cells"
"1422","Monocytes"
"1423","CD8+ T-cells"
"1424","CD8+ T-cells"
"1425","Monocytes"
"1426","CD8+ T-cells"
"1427","CD4+ T-cells"
"1428","Monocytes"
"1429","CD8+ T-cells"
"1430","Monocytes"
"1431","B-cells"
"1432","CD8+ T-cells"
"1433","B-cells"
"1434","CD8+ T-cells"
"1435","CD4+ T-cells"
"1436","CD8+ T-cells"
"1437","CD8+ T-cells"
"1438","CD8+ T-cells"
"1439","Monocytes"
"1440",NA
"1441","CD8+ T-cells"
"1442","CD8+ T-cells"
"1443","CD4+ T-cells"
"1444","CD4+ T-cells"
"1445","NK cells"
"1446","CD8+ T-cells"
"1447","CD4+ T-cells"
"1448","B-cells"
"1449","CD8+ T-cells"
"1450","Monocytes"
"1451","CD8+ T-cells"
"1452","CD4+ T-cells"
"1453","B-cells"
"1454","CD8+ T-cells"
"1455","Monocytes"
"1456","Monocytes"
"1457","Monocytes"
"1458","CD4+ T-cells"
"1459","CD8+ T-cells"
"1460","CD4+ T-cells"
"1461","Monocytes"
"1462","Monocytes"
"1463","B-cells"
"1464","Monocytes"
"1465","CD4+ T-cells"
"1466","Monocytes"
"1467","CD8+ T-cells"
"1468","Monocytes"
"1469","NK cells"
"1470","Monocytes"
"1471","CD8+ T-cells"
"1472","Monocytes"
"1473","CD8+ T-cells"
"1474","CD8+ T-cells"
"1475","CD4+ T-cells"
"1476","CD4+ T-cells"
"1477","B-cells"
"1478","CD8+ T-cells"
"1479","CD4+ T-cells"
"1480","CD4+ T-cells"
"1481","CD4+ T-cells"
"1482","Monocytes"
"1483","CD4+ T-cells"
"1484","CD4+ T-cells"
"1485","CD8+ T-cells"
"1486","CD4+ T-cells"
"1487","Erythrocytes"
"1488","CD8+ T-cells"
"1489","B-cells"
"1490","CD8+ T-cells"
"1491","CD8+ T-cells"
"1492","Monocytes"
"1493","B-cells"
"1494","CD8+ T-cells"
"1495","CD8+ T-cells"
"1496","Monocytes"
"1497","Monocytes"
"1498","CD8+ T-cells"
"1499","CD4+ T-cells"
"1500","Monocytes"
"1501","NK cells"
"1502","B-cells"
"1503","CD4+ T-cells"
"1504","Monocytes"
"1505","CD4+ T-cells"
"1506","CD8+ T-cells"
"1507","CD8+ T-cells"
"1508","CD8+ T-cells"
"1509","CD8+ T-cells"
"1510","NK cells"
"1511","Monocytes"
"1512","Monocytes"
"1513","CD4+ T-cells"
"1514","CD8+ T-cells"
"1515","CD8+ T-cells"
"1516","Monocytes"
"1517","CD4+ T-cells"
"1518","CD4+ T-cells"
"1519","Monocytes"
"1520","Monocytes"
"1521","NK cells"
"1522","CD4+ T-cells"
"1523","CD4+ T-cells"
"1524","B-cells"
"1525","CD8+ T-cells"
"1526","CD8+ T-cells"
"1527","CD4+ T-cells"
"1528","B-cells"
"1529","CD8+ T-cells"
"1530","Monocytes"
"1531","CD8+ T-cells"
"1532","CD4+ T-cells"
"1533","Monocytes"
"1534","CD8+ T-cells"
"1535","CD4+ T-cells"
"1536","B-cells"
"1537","CD8+ T-cells"
"1538","CD4+ T-cells"
"1539","Monocytes"
"1540","NK cells"
"1541","CD4+ T-cells"
"1542","CD4+ T-cells"
"1543","Monocytes"
"1544","CD8+ T-cells"
"1545","CD4+ T-cells"
"1546","CD8+ T-cells"
"1547","CD8+ T-cells"
"1548","CD8+ T-cells"
"1549","Monocytes"
"1550","B-cells"
"1551","B-cells"
"1552","CD8+ T-cells"
"1553","CD4+ T-cells"
"1554","CD4+ T-cells"
"1555","CD4+ T-cells"
"1556","B-cells"
"1557","NK cells"
"1558","CD4+ T-cells"
"1559","Monocytes"
"1560","CD4+ T-cells"
"1561","Monocytes"
"1562","Monocytes"
"1563","Monocytes"
"1564","Monocytes"
"1565","B-cells"
"1566","Monocytes"
"1567","Monocytes"
"1568","B-cells"
"1569","Monocytes"
"1570","CD8+ T-cells"
"1571","CD4+ T-cells"
"1572","NK cells"
"1573","CD8+ T-cells"
"1574","CD8+ T-cells"
"1575","Monocytes"
"1576","Monocytes"
"1577","CD8+ T-cells"
"1578","B-cells"
"1579","B-cells"
"1580","CD4+ T-cells"
"1581","CD8+ T-cells"
"1582","CD8+ T-cells"
"1583","Monocytes"
"1584","CD8+ T-cells"
"1585","CD8+ T-cells"
"1586","Monocytes"
"1587","B-cells"
"1588","CD8+ T-cells"
"1589","Monocytes"
"1590","Monocytes"
"1591","CD8+ T-cells"
"1592","B-cells"
"1593","CD8+ T-cells"
"1594","B-cells"
"1595","Monocytes"
"1596","CD8+ T-cells"
"1597","NK cells"
"1598","NK cells"
"1599","Monocytes"
"1600","CD4+ T-cells"
"1601","CD4+ T-cells"
"1602","Monocytes"
"1603","CD8+ T-cells"
"1604","B-cells"
"1605","Monocytes"
"1606","Monocytes"
"1607","CD8+ T-cells"
"1608","B-cells"
"1609","B-cells"
"1610","B-cells"
"1611","CD4+ T-cells"
"1612","B-cells"
"1613","B-cells"
"1614","Monocytes"
"1615","CD8+ T-cells"
"1616","CD4+ T-cells"
"1617","CD4+ T-cells"
"1618","B-cells"
"1619","CD4+ T-cells"
"1620","Monocytes"
"1621","CD8+ T-cells"
"1622","CD8+ T-cells"
"1623","CD8+ T-cells"
"1624","CD8+ T-cells"
"1625","Monocytes"
"1626","CD8+ T-cells"
"1627","Monocytes"
"1628","CD8+ T-cells"
"1629","CD8+ T-cells"
"1630","B-cells"
"1631","B-cells"
"1632","CD4+ T-cells"
"1633","CD8+ T-cells"
"1634","CD8+ T-cells"
"1635","CD8+ T-cells"
"1636","CD8+ T-cells"
"1637","CD8+ T-cells"
"1638","CD8+ T-cells"
"1639","B-cells"
"1640","NK cells"
"1641","CD8+ T-cells"
"1642","CD4+ T-cells"
"1643","B-cells"
"1644","B-cells"
"1645","CD4+ T-cells"
"1646","Monocytes"
"1647","CD8+ T-cells"
"1648","CD4+ T-cells"
"1649","CD4+ T-cells"
"1650","CD8+ T-cells"
"1651","B-cells"
"1652","CD8+ T-cells"
"1653","CD4+ T-cells"
"1654","CD4+ T-cells"
"1655","CD4+ T-cells"
"1656","CD8+ T-cells"
"1657","NK cells"
"1658","B-cells"
"1659","Monocytes"
"1660","Monocytes"
"1661","CD8+ T-cells"
"1662","CD8+ T-cells"
"1663","B-cells"
"1664","CD8+ T-cells"
"1665","NK cells"
"1666","Monocytes"
"1667","B-cells"
"1668","NK cells"
"1669","CD8+ T-cells"
"1670","CD8+ T-cells"
"1671","B-cells"
"1672","CD4+ T-cells"
"1673","Monocytes"
"1674","CD4+ T-cells"
"1675","CD8+ T-cells"
"1676","B-cells"
"1677","CD4+ T-cells"
"1678","B-cells"
"1679","CD8+ T-cells"
"1680","CD8+ T-cells"
"1681","Monocytes"
"1682","Monocytes"
"1683","Monocytes"
"1684","CD4+ T-cells"
"1685","Monocytes"
"1686","CD8+ T-cells"
"1687","Monocytes"
"1688","CD4+ T-cells"
"1689","CD4+ T-cells"
"1690","CD4+ T-cells"
"1691","NK cells"
"1692","B-cells"
"1693","CD8+ T-cells"
"1694","CD4+ T-cells"
"1695","CD8+ T-cells"
"1696","CD8+ T-cells"
"1697","Monocytes"
"1698","Monocytes"
"1699","Monocytes"
"1700","CD4+ T-cells"
"1701","B-cells"
"1702","Monocytes"
"1703","B-cells"
"1704","NK cells"
"1705","CD8+ T-cells"
"1706","Monocytes"
"1707","CD8+ T-cells"
"1708","CD8+ T-cells"
"1709","Monocytes"
"1710","CD8+ T-cells"
"1711","CD8+ T-cells"
"1712","CD8+ T-cells"
"1713","Monocytes"
"1714","CD4+ T-cells"
"1715","B-cells"
"1716","CD8+ T-cells"
"1717","CD4+ T-cells"
"1718",NA
"1719","CD8+ T-cells"
"1720","CD4+ T-cells"
"1721","B-cells"
"1722","Monocytes"
"1723","CD8+ T-cells"
"1724","B-cells"
"1725","CD4+ T-cells"
"1726","CD8+ T-cells"
"1727","CD8+ T-cells"
"1728","Monocytes"
"1729","CD8+ T-cells"
"1730","CD8+ T-cells"
"1731","CD8+ T-cells"
"1732","B-cells"
"1733","CD8+ T-cells"
"1734","B-cells"
"1735","CD4+ T-cells"
"1736","B-cells"
"1737","B-cells"
"1738","NK cells"
"1739","Monocytes"
"1740","CD4+ T-cells"
"1741","CD8+ T-cells"
"1742","CD8+ T-cells"
"1743","Monocytes"
"1744","CD4+ T-cells"
"1745","CD4+ T-cells"
"1746","B-cells"
"1747","CD8+ T-cells"
"1748","CD8+ T-cells"
"1749","B-cells"
"1750","CD8+ T-cells"
"1751","B-cells"
"1752","CD8+ T-cells"
"1753","B-cells"
"1754","CD8+ T-cells"
"1755","CD8+ T-cells"
"1756","Monocytes"
"1757","B-cells"
"1758","CD4+ T-cells"
"1759","CD8+ T-cells"
"1760","CD8+ T-cells"
"1761","CD8+ T-cells"
"1762","Monocytes"
"1763","CD8+ T-cells"
"1764","CD4+ T-cells"
"1765","Monocytes"
"1766","CD8+ T-cells"
"1767","CD4+ T-cells"
"1768","B-cells"
"1769","B-cells"
"1770","CD8+ T-cells"
"1771","Monocytes"
"1772","CD8+ T-cells"
"1773","B-cells"
"1774","CD8+ T-cells"
"1775","CD8+ T-cells"
"1776","Monocytes"
"1777","NK cells"
"1778","Monocytes"
"1779","CD8+ T-cells"
"1780","Monocytes"
"1781","NK cells"
"1782","Monocytes"
"1783","CD4+ T-cells"
"1784","B-cells"
"1785","CD8+ T-cells"
"1786","CD8+ T-cells"
"1787","CD8+ T-cells"
"1788","CD4+ T-cells"
"1789","Monocytes"
"1790","Monocytes"
"1791","B-cells"
"1792","B-cells"
"1793","CD8+ T-cells"
"1794","CD4+ T-cells"
"1795","CD4+ T-cells"
"1796","NK cells"
"1797","Monocytes"
"1798","Monocytes"
"1799","B-cells"
"1800","CD4+ T-cells"
"1801","CD8+ T-cells"
"1802","CD8+ T-cells"
"1803","CD4+ T-cells"
"1804","Monocytes"
"1805","B-cells"
"1806","B-cells"
"1807","CD4+ T-cells"
"1808","CD8+ T-cells"
"1809","Monocytes"
"1810","B-cells"
"1811","NK cells"
"1812","CD8+ T-cells"
"1813","CD8+ T-cells"
"1814","B-cells"
"1815","CD8+ T-cells"
"1816","Monocytes"
"1817","CD8+ T-cells"
"1818","CD8+ T-cells"
"1819","Monocytes"
"1820","Monocytes"
"1821","Monocytes"
"1822","CD4+ T-cells"
"1823","CD8+ T-cells"
"1824","CD4+ T-cells"
"1825","B-cells"
"1826","CD4+ T-cells"
"1827","Monocytes"
"1828","CD4+ T-cells"
"1829","CD8+ T-cells"
"1830","CD4+ T-cells"
"1831","CD4+ T-cells"
"1832","CD4+ T-cells"
"1833","B-cells"
"1834","Monocytes"
"1835","CD8+ T-cells"
"1836","CD8+ T-cells"
"1837","CD4+ T-cells"
"1838","CD4+ T-cells"
"1839","B-cells"
"1840","CD8+ T-cells"
"1841","Monocytes"
"1842","CD8+ T-cells"
"1843","Monocytes"
"1844","CD8+ T-cells"
"1845","CD8+ T-cells"
"1846","CD4+ T-cells"
"1847","CD8+ T-cells"
"1848","CD8+ T-cells"
"1849","CD8+ T-cells"
"1850","CD4+ T-cells"
"1851","Monocytes"
"1852","NK cells"
"1853","CD8+ T-cells"
"1854","Monocytes"
"1855","CD4+ T-cells"
"1856","Monocytes"
"1857","CD8+ T-cells"
"1858","B-cells"
"1859","B-cells"
"1860","CD4+ T-cells"
"1861","Monocytes"
"1862","CD8+ T-cells"
"1863","B-cells"
"1864","Monocytes"
"1865","B-cells"
"1866","Monocytes"
"1867","CD8+ T-cells"
"1868","B-cells"
"1869","Monocytes"
"1870","B-cells"
"1871","CD8+ T-cells"
"1872","B-cells"
"1873","Monocytes"
"1874",NA
"1875","CD8+ T-cells"
"1876","B-cells"
"1877","Monocytes"
"1878","Monocytes"
"1879","CD8+ T-cells"
"1880","CD8+ T-cells"
"1881","CD8+ T-cells"
"1882","CD8+ T-cells"
"1883","CD4+ T-cells"
"1884","NK cells"
"1885","CD8+ T-cells"
"1886","CD8+ T-cells"
"1887","Monocytes"
"1888","CD8+ T-cells"
"1889","Monocytes"
"1890","CD4+ T-cells"
"1891","Monocytes"
"1892","CD8+ T-cells"
"1893","Monocytes"
"1894","Monocytes"
"1895","CD4+ T-cells"
"1896","CD4+ T-cells"
"1897","NK cells"
"1898","CD8+ T-cells"
"1899","CD8+ T-cells"
"1900","Monocytes"
"1901","B-cells"
"1902","Monocytes"
"1903","CD8+ T-cells"
"1904","CD4+ T-cells"
"1905","CD8+ T-cells"
"1906","CD8+ T-cells"
"1907","Monocytes"
"1908","CD4+ T-cells"
"1909","CD8+ T-cells"
"1910","CD4+ T-cells"
"1911","Monocytes"
"1912","B-cells"
"1913","CD8+ T-cells"
"1914","CD8+ T-cells"
"1915","CD8+ T-cells"
"1916","B-cells"
"1917","CD8+ T-cells"
"1918","CD4+ T-cells"
"1919","CD8+ T-cells"
"1920","CD4+ T-cells"
"1921","CD8+ T-cells"
"1922","CD4+ T-cells"
"1923","CD4+ T-cells"
"1924","Monocytes"
"1925","B-cells"
"1926","B-cells"
"1927","CD8+ T-cells"
"1928","B-cells"
"1929","CD8+ T-cells"
"1930","Monocytes"
"1931","NK cells"
"1932","NK cells"
"1933","NK cells"
"1934","CD4+ T-cells"
"1935","Monocytes"
"1936","CD8+ T-cells"
"1937","CD4+ T-cells"
"1938","Monocytes"
"1939","B-cells"
"1940","CD8+ T-cells"
"1941","CD8+ T-cells"
"1942","CD4+ T-cells"
"1943","Monocytes"
"1944","Monocytes"
"1945","Monocytes"
"1946","CD4+ T-cells"
"1947","CD4+ T-cells"
"1948","B-cells"
"1949","CD4+ T-cells"
"1950","Monocytes"
"1951","CD4+ T-cells"
"1952","Monocytes"
"1953","CD8+ T-cells"
"1954","CD4+ T-cells"
"1955","Monocytes"
"1956","Monocytes"
"1957","CD4+ T-cells"
"1958","NK cells"
"1959","B-cells"
"1960","Monocytes"
"1961","B-cells"
"1962","CD4+ T-cells"
"1963","CD4+ T-cells"
"1964","B-cells"
"1965","CD8+ T-cells"
"1966","B-cells"
"1967","CD8+ T-cells"
"1968","CD8+ T-cells"
"1969","CD8+ T-cells"
"1970","Monocytes"
"1971","CD8+ T-cells"
"1972","CD4+ T-cells"
"1973","B-cells"
"1974","B-cells"
"1975","CD4+ T-cells"
"1976","CD8+ T-cells"
"1977","CD8+ T-cells"
"1978","CD8+ T-cells"
"1979","CD8+ T-cells"
"1980","B-cells"
"1981","Monocytes"
"1982","CD8+ T-cells"
"1983","CD8+ T-cells"
"1984","B-cells"
"1985","B-cells"
"1986","CD8+ T-cells"
"1987","Monocytes"
"1988","Monocytes"
"1989","CD4+ T-cells"
"1990","B-cells"
"1991","Monocytes"
"1992","CD8+ T-cells"
"1993","CD8+ T-cells"
"1994","CD8+ T-cells"
"1995","B-cells"
"1996","Monocytes"
"1997","Monocytes"
"1998","CD4+ T-cells"
"1999","Monocytes"
"2000","CD8+ T-cells"
"2001","B-cells"
"2002","NK cells"
"2003","Monocytes"
"2004","NK cells"
"2005","CD8+ T-cells"
"2006","CD8+ T-cells"
"2007","CD8+ T-cells"
"2008","CD8+ T-cells"
"2009","CD8+ T-cells"
"2010","CD8+ T-cells"
"2011","CD8+ T-cells"
"2012","Monocytes"
"2013","CD4+ T-cells"
"2014","Monocytes"
"2015","Monocytes"
"2016","Monocytes"
"2017","Monocytes"
"2018","B-cells"
"2019","B-cells"
"2020","CD8+ T-cells"
"2021","CD8+ T-cells"
"2022","CD8+ T-cells"
"2023","B-cells"
"2024","CD4+ T-cells"
"2025","CD8+ T-cells"
"2026","B-cells"
"2027","B-cells"
"2028","CD8+ T-cells"
"2029","CD8+ T-cells"
"2030","B-cells"
"2031","CD8+ T-cells"
"2032","Monocytes"
"2033","CD4+ T-cells"
"2034","CD4+ T-cells"
"2035","CD8+ T-cells"
"2036","Monocytes"
"2037","CD4+ T-cells"
"2038","CD4+ T-cells"
"2039","CD8+ T-cells"
"2040","CD8+ T-cells"
"2041","CD8+ T-cells"
"2042","CD8+ T-cells"
"2043","Monocytes"
"2044","CD4+ T-cells"
"2045","B-cells"
"2046","CD8+ T-cells"
"2047","B-cells"
"2048","Monocytes"
"2049","B-cells"
"2050","CD8+ T-cells"
"2051","B-cells"
"2052","CD8+ T-cells"
"2053","CD4+ T-cells"
"2054","CD8+ T-cells"
"2055","CD4+ T-cells"
"2056","CD4+ T-cells"
"2057","CD4+ T-cells"
"2058","NK cells"
"2059","CD4+ T-cells"
"2060","CD8+ T-cells"
"2061","CD4+ T-cells"
"2062","B-cells"
"2063","B-cells"
"2064","CD4+ T-cells"
"2065","B-cells"
"2066","NK cells"
"2067","CD4+ T-cells"
"2068","CD4+ T-cells"
"2069","B-cells"
"2070","CD8+ T-cells"
"2071","Monocytes"
"2072","NK cells"
"2073","CD8+ T-cells"
"2074","NK cells"
"2075","CD8+ T-cells"
"2076","NK cells"
"2077","Monocytes"
"2078","Monocytes"
"2079","Monocytes"
"2080","NK cells"
"2081","CD8+ T-cells"
"2082","CD8+ T-cells"
"2083","Monocytes"
"2084","CD4+ T-cells"
"2085","Monocytes"
"2086","CD4+ T-cells"
"2087","Monocytes"
"2088","CD4+ T-cells"
"2089","CD8+ T-cells"
"2090","B-cells"
"2091","CD4+ T-cells"
"2092","Monocytes"
"2093","CD8+ T-cells"
"2094","CD4+ T-cells"
"2095","CD4+ T-cells"
"2096","CD8+ T-cells"
"2097","CD4+ T-cells"
"2098","CD8+ T-cells"
"2099","Monocytes"
"2100","CD8+ T-cells"
"2101","CD8+ T-cells"
"2102","B-cells"
"2103","CD8+ T-cells"
"2104","CD4+ T-cells"
"2105","NK cells"
"2106","CD8+ T-cells"
"2107","CD8+ T-cells"
"2108","CD8+ T-cells"
"2109","CD8+ T-cells"
"2110","Monocytes"
"2111","Monocytes"
"2112","Monocytes"
"2113","NK cells"
"2114","B-cells"
"2115","CD4+ T-cells"
"2116","CD8+ T-cells"
"2117","CD8+ T-cells"
"2118","CD4+ T-cells"
"2119","CD8+ T-cells"
"2120","CD4+ T-cells"
"2121","CD8+ T-cells"
"2122","CD4+ T-cells"
"2123",NA
"2124","NK cells"
"2125","CD4+ T-cells"
"2126","CD8+ T-cells"
"2127","CD4+ T-cells"
"2128","CD4+ T-cells"
"2129","CD4+ T-cells"
"2130","CD4+ T-cells"
"2131","CD4+ T-cells"
"2132","B-cells"
"2133","B-cells"
"2134","B-cells"
"2135","CD8+ T-cells"
"2136","CD8+ T-cells"
"2137","B-cells"
"2138","Monocytes"
"2139","CD8+ T-cells"
"2140","B-cells"
"2141","Monocytes"
"2142","B-cells"
"2143","CD4+ T-cells"
"2144","Monocytes"
"2145","Monocytes"
"2146","CD8+ T-cells"
"2147","CD8+ T-cells"
"2148","CD8+ T-cells"
"2149","CD4+ T-cells"
"2150","CD8+ T-cells"
"2151","CD8+ T-cells"
"2152","B-cells"
"2153","CD8+ T-cells"
"2154","CD8+ T-cells"
"2155","CD8+ T-cells"
"2156","CD8+ T-cells"
"2157","Monocytes"
"2158","CD8+ T-cells"
"2159","B-cells"
"2160","B-cells"
"2161","CD4+ T-cells"
"2162","CD4+ T-cells"
"2163","Monocytes"
"2164",NA
"2165","CD8+ T-cells"
"2166","B-cells"
"2167","Monocytes"
"2168","NK cells"
"2169","CD8+ T-cells"
"2170","Monocytes"
"2171","CD4+ T-cells"
"2172","Monocytes"
"2173","Monocytes"
"2174","CD8+ T-cells"
"2175","CD4+ T-cells"
"2176","B-cells"
"2177","Monocytes"
"2178","CD8+ T-cells"
"2179","Monocytes"
"2180","CD8+ T-cells"
"2181","CD8+ T-cells"
"2182","Monocytes"
"2183","CD8+ T-cells"
"2184","NK cells"
"2185","CD8+ T-cells"
"2186","CD8+ T-cells"
"2187","CD4+ T-cells"
"2188","CD8+ T-cells"
"2189","B-cells"
"2190","CD4+ T-cells"
"2191","B-cells"
"2192","CD4+ T-cells"
"2193","B-cells"
"2194","Monocytes"
"2195","Monocytes"
"2196","CD8+ T-cells"
"2197","CD4+ T-cells"
"2198","CD8+ T-cells"
"2199","CD8+ T-cells"
"2200","CD8+ T-cells"
"2201","CD8+ T-cells"
"2202","CD8+ T-cells"
"2203","CD8+ T-cells"
"2204","CD4+ T-cells"
"2205","CD8+ T-cells"
"2206","CD8+ T-cells"
"2207","B-cells"
"2208","NK cells"
"2209","Monocytes"
"2210","NK cells"
"2211","CD8+ T-cells"
"2212","CD8+ T-cells"
"2213","Monocytes"
"2214","CD8+ T-cells"
"2215","CD8+ T-cells"
"2216","B-cells"
"2217","CD8+ T-cells"
"2218","NK cells"
"2219","Monocytes"
"2220","NK cells"
"2221","B-cells"
"2222","CD8+ T-cells"
"2223","B-cells"
"2224","CD4+ T-cells"
"2225","CD8+ T-cells"
"2226","Monocytes"
"2227","NK cells"
"2228","CD4+ T-cells"
"2229","NK cells"
